Error Code,Message,Status,발생 조건
,,,
INVALID_MEMBER_ID,Invalid member ID.,400,memberId 형식이 잘못된 경우.
INVALID_UPDATE_FIELD,Invalid update field.,400,수정할 수 없는 필드가 요청 Body에 포함된 경우.
CANNOT_CHANGE_OWN_ROLE,You cannot change your own role.,409,관리자가 자기 자신의 권한을 변경하려고 하는 경우.
EMAIL_ALREADY_EXISTS,Email already exists.,409,변경하려는 이메일을 다른 사용자가 이미 사용 중인 경우.
-,Member information has been updated.,200,회원 정보 수정 성공.
ADMIN_AUTHORITY_REQUIRED,Admin privileges are required.,403,JWT는 유효하지만 ADMIN 권한이 없는 경우.
CANNOT_MODIFY_SUPER_ADMIN,Super admin accounts cannot be modified.,409,최고 관리자 또는 보호 계정 정보를 수정하려고 하는 경우.
INVALID_OR_EXPIRED_TOKEN,Authentication token is missing or expired.,401,JWT가 없거나 만료된 경우.
MEMBER_NOT_FOUND,Member not found.,404,수정할 대상 회원이 존재하지 않는 경우.
MEMBER_ALREADY_WITHDRAWN,Withdrawn members cannot be modified.,422,이미 탈퇴 처리된 회원 정보를 수정하려고 하는 경우.
INVALID_MEMBER_ROLE,Invalid member role.,400,role 값이 허용된 회원 권한 값이 아닌 경우.
INVALID_MEMBER_STATUS,Invalid member status.,400,status 값이 허용된 회원 상태 값이 아닌 경우.
