필드명,타입,설명,예시
,,,
beginDate,DATE,여행 시작일입니다.,2026-07-01
details[].placeId,INT,관광지 기반 일정인 경우의 장소 ID입니다.,10
endDate,DATE,여행 종료일입니다.,2026-07-03
details[].sceneId,INT,드라마 촬영지 기반 일정인 경우의 촬영지 ID입니다.,3
details[].detailId,INT,세부 일정의 고유 ID입니다.,1
updatedAt,DATETIME,여행 계획 최종 수정 일시입니다.,2026-06-03T13:30:00
details[].dayNo,INT,여행 N일차입니다.,1
memberId,INT,여행 계획을 소유한 Member의 고유 ID입니다.,5
details,ARRAY,수정된 여행 계획 세부 일정 목록입니다.,"[{""detailId"":1,""dayNo"":1,""beginTime"":""09:00"",""endTime"":""11:00"",""placeId"":10}]"
title,STRING,수정된 여행 계획 제목입니다.,부산 드라마 촬영지 여행
details[].endTime,TIME,세부 일정 종료 시간입니다.,11:00
createdAt,DATETIME,여행 계획 생성 일시입니다.,2026-06-03T12:00:00
details[].beginTime,TIME,세부 일정 시작 시간입니다.,09:00
planId,INT,수정된 여행 계획의 고유 ID입니다.,1
