Status,Error Code,Message,발생 조건
,,,
401,INVALID_OR_EXPIRED_TOKEN,Authentication token is missing or expired.,JWT가 없거나 만료된 경우.
200,-,Member information has been updated.,회원 정보 수정 성공.
400,EMPTY_UPDATE_FIELDS,At least one field must be provided for update.,요청 Body에 수정할 필드가 하나도 없는 경우.
400,INVALID_EMAIL,Invalid email.,이메일 형식이 유효하지 않은 경우.
403,MEMBER_ACCESS_DENIED,Member access is denied.,본인 계정에 대한 접근 권한이 없는 경우.
409,MEMBER_ALREADY_WITHDRAWN,Member has already been withdrawn.,이미 탈퇴 처리된 회원 정보를 수정하려고 하는 경우.
400,INVALID_PASSWORD,Invalid password.,비밀번호 형식이 유효하지 않거나 현재 비밀번호가 일치하지 않는 경우.
409,EMAIL_ALREADY_EXISTS,Email already exists.,변경하려는 이메일을 다른 회원이 이미 사용 중인 경우.
400,INVALID_NICKNAME,Invalid nickname.,닉네임 형식이 유효하지 않은 경우.
404,MEMBER_NOT_FOUND,Member not found.,인증된 회원 정보를 찾을 수 없는 경우.
